Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
caja,http://www.wikidata.org/entity/Q208421,kleine trom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um442,Caja,https://data.muziekschatten.nl/som/Instrument
cajon,http://www.wikidata.org/entity/Q748455,cajón,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um443,CajÃ³n,https://data.muziekschatten.nl/som/Instrument
carillon,http://www.wikidata.org/entity/Q505174,beiaard,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um843,Elektrisch carillon,https://data.muziekschatten.nl/som/Instrument
castagnetten,http://www.wikidata.org/entity/Q183932,castagnetten,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um460,Castagnetten,https://data.muziekschatten.nl/som/Instrument
celesta,http://www.wikidata.org/entity/Q320341,celesta,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um469,Celesta,https://data.muziekschatten.nl/som/Instrument
cello,http://www.wikidata.org/entity/Q8371,cello,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um472,Cello,https://data.muziekschatten.nl/som/Instrument
cello barok,http://www.wikidata.org/entity/Q8371,cello,http://www.wikidata.org/entity/Q34379,,,
cello elektr.,http://www.wikidata.org/entity/Q713574,Electric cello,http://www.wikidata.org/entity/Q34379,,,
chang go,http://www.wikidata.org/entity/Q1062015,janggu,http://www.wikidata.org/entity/Q34379,,,
chitarra battente,http://www.wikidata.org/entity/Q2297117,chitarra battente,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um519,Chitarra battente,https://data.muziekschatten.nl/som/Instrument
chitarrone,http://www.wikidata.org/entity/Q2216381,Chitarrone,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um520,Chitarrone,https://data.muziekschatten.nl/som/Instrument
chitende,http://www.wikidata.org/entity/,,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um521,Chitende,https://data.muziekschatten.nl/som/Instrument
cimbaal,http://www.wikidata.org/entity/Q8374,cimbalom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um307,Bekken - familie,https://data.muziekschatten.nl/som/Instrument
cimbalom,http://www.wikidata.org/entity/Q8374,cimbalom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um541,Cimbalom,https://data.muziekschatten.nl/som/Instrument
cister,http://www.wikidata.org/entity/Q1093290,citter,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um550,Cister,https://data.muziekschatten.nl/som/Instrument
citer,http://www.wikidata.org/entity/Q76239,citer,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um552,Citer,https://data.muziekschatten.nl/som/Instrument
clarino,http://www.wikidata.org/entity/Q943488,klaroen,http://www.wikidata.org/entity/Q34379,,,
clavecimbel,http://www.wikidata.org/entity/Q81982,klavecimbel,http://www.wikidata.org/entity/Q34379,,,
clavichord,http://www.wikidata.org/entity/Q191823,klavichord,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1529,Klavichord,https://data.muziekschatten.nl/som/Instrument
clavicytherium,http://www.wikidata.org/entity/Q1746064,clavicytherium,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1528,Klavecytherium,https://data.muziekschatten.nl/som/Instrument
clavinet,http://www.wikidata.org/entity/Q1099153,clavinet,http://www.wikidata.org/entity/Q34379,,,
claviorganum,http://www.wikidata.org/entity/Q1099112,claviorganum,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um574,Claviorganum,https://data.muziekschatten.nl/som/Instrument
concertina,http://www.wikidata.org/entity/Q593050,concertina,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um584,Concertina,https://data.muziekschatten.nl/som/Instrument
conga's,http://www.wikidata.org/entity/Q270200,Conga,http://www.wikidata.org/entity/Q34379,,,
congas,http://www.wikidata.org/entity/Q270200,Conga,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um589,Conga,https://data.muziekschatten.nl/som/Instrument
contrabas,http://www.wikidata.org/entity/Q80019,contrabas,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um597,Contrabas,https://data.muziekschatten.nl/som/Instrument
contrabasklarinet,http://www.wikidata.org/entity/Q2731509,contrabass clarinet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um606,Contrabasklarinet,https://data.muziekschatten.nl/som/Instrument
contrafagot,http://www.wikidata.org/entity/Q83513,contrafagot,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um615,Contrafagot,https://data.muziekschatten.nl/som/Instrument
cornet,http://www.wikidata.org/entity/Q202027,kornet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1579,Kornet,https://data.muziekschatten.nl/som/Instrument
corno da caccia,http://www.wikidata.org/entity/Q1134216,corno da caccia,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um1319,Jachthoorn,https://data.muziekschatten.nl/som/Instrument
cymbaal,http://www.wikidata.org/entity/Q8374,cimbalom,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um307,Bekken - familie,https://data.muziekschatten.nl/som/Instrument
cymbalom,http://www.wikidata.org/entity/Q8374,cimbalom,http://www.wikidata.org/entity/Q34379,,,
daf,http://www.wikidata.org/entity/Q11084057,daf,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um650,Daf,https://data.muziekschatten.nl/som/Instrument
dan co,http://www.wikidata.org/entity/Q8079925,đàn nhị,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um663,Dan co,https://data.muziekschatten.nl/som/Instrument
dan nguyet,http://www.wikidata.org/entity/Q8079924,đàn nguyệt,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um669,Dan nguyet,https://data.muziekschatten.nl/som/Instrument
dan tranh,http://www.wikidata.org/entity/Q342234,đàn tranh,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um674,Dan tranh,https://data.muziekschatten.nl/som/Instrument
darabukka,http://www.wikidata.org/entity/Q319154,darbuka,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um683,Darabukka,https://data.muziekschatten.nl/som/Instrument
dholak,http://www.wikidata.org/entity/Q936590,Dholak,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um703,Dholak,https://data.muziekschatten.nl/som/Instrument
didgeridoo,http://www.wikidata.org/entity/Q189388,didgeridoo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um712,Didgeridoo,https://data.muziekschatten.nl/som/Instrument
djembe,http://www.wikidata.org/entity/Q537750,djembé,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um732,DjembÃ©,https://data.muziekschatten.nl/som/Instrument
doedelzak,http://www.wikidata.org/entity/Q8347,doedelzak,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um740,Doedelzak,https://data.muziekschatten.nl/som/Instrument
dombak,http://www.wikidata.org/entity/Q3574843,tonbak,http://www.wikidata.org/entity/Q34379,,,
draailier,http://www.wikidata.org/entity/Q207821,draailier,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um763,Draailier,https://data.muziekschatten.nl/som/Instrument
draaiorgel,http://www.wikidata.org/entity/Q1256576,draaiorgel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um766,Draaiorgel,https://data.muziekschatten.nl/som/Instrument
draaitafels,http://www.wikidata.org/entity/Q7112808,grammofoon,http://www.wikidata.org/entity/Q34379,,,
drums,http://www.wikidata.org/entity/Q128309,drumstel,http://www.wikidata.org/entity/Q34379,,,
duduk,http://www.wikidata.org/entity/Q737917,doedoek,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um795,Duduk,https://data.muziekschatten.nl/som/Instrument
